"ตารางราคาแฟลชไดร์ฟ
อัพเดท 26/9/67
,,,,64 GB.,ถามจัดซื้อ,ถามจัดซื้อ,ถามจัดซื้อ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
16,UM-02,,"รหัสแฟลชไดรฟ์ : UM-02
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น
ฟรี : ออกแบบ
ผลิต: 7-15 วัน
รับประกันชิป : 5 ปี
วัสดุ: โลหะ
ขนาด: 27 x 12 x 3.4 mm.
สี : ตามแบบ
โลโก้ : Laser / Silk Screen / Printing
ความเร็ว : อ่าน 10-22 MB / เขียน 3-10 MB
ความจุ : 2 GB / 4 GB / 8 GB / 16 GB / 32 GB",8 GB.,95,90,ถามจัดซื้อ,FREE,18,NO,NO,NO,"H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 24 mm.","H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 24 mm.","H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 24 mm.",NO,"ด้านหลัง จุดที่ 2 
LOGO สกรีน // LOGO เลเซอร์ 
H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 12 mm. "
,,,,16 GB .,100,95,ถามจัดซื้อ,,,,,,,,,,
,,,,32 GB.,125,120,ถามจัดซื้อ,,,,,,,,,,
,,,,64 GB.,ถามจัดซื้อ,ถามจัดซื้อ,ถามจัดซื้อ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
17,UM-05,,"รหัสแฟลชไดรฟ์ : UM-05
จำนวนการผลิตขึ้นต่ำ: 1 ชิ้น Laser Logo || 20 ชิ้น Silk Screen
ฟรี : ออกแบบ
ผลิต: 2-5 วัน Laser Logo || 3-7 วัน Silk Screen
รับประกันชิป : 5 ปี
วัสดุ: โลหะ
ขนาด: 42 x 12 mm.
สี : โลหะ
โลโก้ : Laser / Silk Screen / Printing
ความเร็ว : อ่าน 10-22MB / เขียน 3-10MB
ความจุ : 2 GB / 4 GB / 8 GB / 16 GB / 32 GB",8 GB.,95,90,ถามจัดซื้อ,FREE,18,NO,NO,NO,"H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 23 mm.","H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 23 mm.","H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 23 mm.",NO,LOGO เว้นจากหัวเสีบย 12 mm. 
,,,,16 GB .,100,95,ถามจัดซื้อ,,,,,,,,,,
,,,,32 GB.,125,120,ถามจัดซื้อ,,,,,,,,,,
